FIPS10, County Name , City or Township Name ," Total Population, 2018 "," Population in Households, 2018 "," Population in Group Quarters, 2018 "," Households, 2018 "," Persons per Household, 2018 "
2700713258,Beltrami,Cormant township, 157 , 157 , -   , 69 ,2.28
2700717234,Beltrami,Durand township, 234 , 234 , -   , 94 ,2.49
2700717954,Beltrami,Eckles township," 1,735 "," 1,732 ", 3 , 671 ,2.58
2700722886,Beltrami,Frohn township," 1,504 "," 1,499 ", 5 , 585 ,2.56
2700722976,Beltrami,Funkley city, 10 , 10 , -   , 6 ,1.67
2700725352,Beltrami,Grant Valley township," 2,172 "," 2,163 ", 9 , 813 ,2.66
2700726468,Beltrami,Hagali township, 398 , 398 , -   , 156 ,2.55
2700726900,Beltrami,Hamre township, 13 , 13 , -   , 8 ,1.63
2700729348,Beltrami,Hines township, 673 , 673 , -   , 280 ,2.40
2700730194,Beltrami,Hornet township, 240 , 240 , -   , 102 ,2.35
2700732120,Beltrami,Jones township, 283 , 283 , -   , 103 ,2.75
2700732606,Beltrami,Kelliher city, 259 , 259 , -   , 121 ,2.14
2700732624,Beltrami,Kelliher township, 131 , 131 , -   , 54 ,2.43
2700735324,Beltrami,Lammers township, 591 , 591 , -   , 225 ,2.63
2700735540,Beltrami,Langor township, 223 , 223 , -   , 85 ,2.62
2700736170,Beltrami,Lee township, 53 , 53 , -   , 16 ,3.31
2700736926,Beltrami,Liberty township, 745 , 740 , 5 , 279 ,2.65
2700740274,Beltrami,Maple Ridge township, 108 , 108 , -   , 46 ,2.35
2700743360,Beltrami,Minnie township, 22 , 22 , -   , 13 ,1.69
2700743936,Beltrami,Moose Lake township, 229 , 229 , -   , 88 ,2.60
2700745088,Beltrami,Nebish township, 290 , 290 , -   , 120 ,2.42
2700746906,Beltrami,Northern township," 4,128 "," 4,107 ", 21 ," 1,539 ",2.67
2700748040,Beltrami,O'Brien township, 59 , 59 , -   , 28 ,2.11
2700752162,Beltrami,Port Hope township, 664 , 660 , 4 , 274 ,2.41
2700752828,Beltrami,Quiring township, 87 , 87 , -   , 33 ,2.64
2700755402,Beltrami,Roosevelt township, 221 , 221 , -   , 97 ,2.28
2700759926,Beltrami,Shooks township, 187 , 187 , -   , 72 ,2.60
2700760070,Beltrami,Shotley township, 50 , 50 , -   , 26 ,1.92
2700761114,Beltrami,Solway city, 89 , 89 , -   , 29 ,3.07
2700762230,Beltrami,Spruce Grove township, 56 , 56 , -   , 19 ,2.95
2700762680,Beltrami,Steenerson township, 20 , 20 , -   , 14 ,1.43
2700763274,Beltrami,Sugar Bush township, 232 , 232 , -   , 89 ,2.61
2700763328,Beltrami,Summit township, 257 , 257 , -   , 106 ,2.42
2700764291,Beltrami,Taylor township, 98 , 98 , -   , 45 ,2.18
2700764390,Beltrami,Ten Lake township," 1,076 "," 1,076 ", -   , 351 ,3.07
2700764444,Beltrami,Tenstrike city, 211 , 211 , -   , 86 ,2.45
2700765758,Beltrami,Turtle Lake township," 1,222 "," 1,222 ", -   , 498 ,2.45
2700765794,Beltrami,Turtle River city, 80 , 80 , -   , 39 ,2.05
2700765812,Beltrami,Turtle River township," 1,129 "," 1,110 ", 19 , 456 ,2.43
2700768440,Beltrami,Waskish township, 122 , 122 , -   , 61 ,2.00
2700770708,Beltrami,Wilton city, 244 , 244 , -   , 96 ,2.54
2700771590,Beltrami,Woodrow township, 80 , 80 , -   , 29 ,2.76
2700799904,Beltrami,Beltrami Co. Unorganized," 6,212 "," 6,128 ", 84 ," 1,884 ",3.25
2700900668,Benton,Alberta township, 857 , 857 , -   , 301 ,2.85
2700921536,Benton,Foley city," 2,732 "," 2,579 ", 153 ," 1,030 ",2.50
2700923804,Benton,Gilman city, 235 , 235 , -   , 92 ,2.55
2700923822,Benton,Gilmanton township, 899 , 899 , -   , 331 ,2.72
2700924020,Benton,Glendorado township, 763 , 763 , -   , 293 ,2.60
2700924812,Benton,Graham township, 617 , 617 , -   , 208 ,2.97
2700925298,Benton,Granite Ledge township, 765 , 761 , 4 , 291 ,2.62
2700935522,Benton,Langola township, 956 , 956 , -   , 358 ,2.67
2700941192,Benton,Mayhew Lake township, 866 , 866 , -   , 298 ,2.91
2700941264,Benton,Maywood township, 973 , 973 , -   , 363 ,2.68
2700942434,Benton,Minden township," 1,683 "," 1,679 ", 4 , 669 ,2.51
2700953998,Benton,Rice city," 1,351 "," 1,351 ", -   , 500 ,2.70
2700956176,Benton,Royalton city (part), 2 , 2 , -   , 1 ,2.00
2700956896,Benton,St. Cloud city (part)," 6,367 "," 6,265 ", 102 ," 2,999 ",2.09
2700956986,Benton,St. George township," 1,241 "," 1,241 ", -   , 433 ,2.87
2700958612,Benton,Sartell city (part)," 2,337 "," 1,960 ", 377 , 983 ,1.99
2700958684,Benton,Sauk Rapids city," 13,954 "," 13,541 ", 413 ," 5,532 ",2.45
2700958702,Benton,Sauk Rapids township, 578 , 578 , -   , 267 ,2.16
2700968476,Benton,Watab township," 3,276 "," 3,270 ", 6 ," 1,245 ",2.63
2701100532,Big Stone,Akron township, 152 , 152 , -   , 68 ,2.24
2701101126,Big Stone,Almond township, 95 , 95 , -   , 42 ,2.26
2701102350,Big Stone,Artichoke township, 78 , 78 , -   , 35 ,2.23
2701103718,Big Stone,Barry city, 13 , 13 , -   , 5 ,2.60
2701104204,Big Stone,Beardsley city, 216 , 216 , -   , 102 ,2.12
2701105788,Big Stone,Big Stone township, 286 , 286 , -   , 113 ,2.53
2701108182,Big Stone,Browns Valley township, 124 , 124 , -   , 60 ,2.07
2701111980,Big Stone,Clinton city, 419 , 415 , 4 , 194 ,2.14
2701113384,Big Stone,Correll city, 30 , 30 , -   , 16 ,1.88
2701122058,Big Stone,Foster township, 108 , 108 , -   , 56 ,1.93
2701124758,Big Stone,Graceville city, 565 , 517 , 48 , 262 ,1.97
2701124776,Big Stone,Graceville township, 181 , 181 , -   , 56 ,3.23
2701132012,Big Stone,Johnson city, 27 , 27 , -   , 14 ,1.93
2701139608,Big Stone,Malta township, 101 , 101 , -   , 33 ,3.06
2701143828,Big Stone,Moonshine township, 90 , 90 , -   , 32 ,2.81
2701148058,Big Stone,Odessa city, 119 , 119 , -   , 53 ,2.25
2701148076,Big Stone,Odessa township, 125 , 125 , -   , 55 ,2.28
2701148706,Big Stone,Ortonville city," 1,816 "," 1,731 ", 85 , 865 ,2.00
2701148724,Big Stone,Ortonville township, 84 , 84 , -   , 36 ,2.33
2701149120,Big Stone,Otrey township, 74 , 74 , -   , 31 ,2.39
2701152576,Big Stone,Prior township, 246 , 246 , -   , 90 ,2.73
2701165200,Big Stone,Toqua township, 51 , 51 , -   , 21 ,2.43
2701301324,Blue Earth,Amboy city, 510 , 510 , -   , 227 ,2.25
2701304330,Blue Earth,Beauford township, 375 , 375 , -   , 150 ,2.50
2701309046,Blue Earth,Butternut Valley township, 293 , 293 , -   , 115 ,2.55
2701309352,Blue Earth,Cambria township, 238 , 238 , -   , 107 ,2.22
2701310756,Blue Earth,Ceresco township, 210 , 210 , -   , 84 ,2.50
2701314752,Blue Earth,Danville township, 222 , 222 , -   , 92 ,2.41
2701315130,Blue Earth,Decoria township," 1,090 "," 1,090 ", -   , 414 ,2.63
2701317378,Blue Earth,Eagle Lake city," 3,137 "," 3,133 ", 4 ," 1,177 ",2.66
2701323102,Blue Earth,Garden City township, 647 , 647 , -   , 261 ,2.48
2701324506,Blue Earth,Good Thunder city, 529 , 529 , -   , 210 ,2.52
2701331688,Blue Earth,Jamestown township, 612 , 612 , -   , 238 ,2.57
