FIPS10,County Name,City Name,"Total Population, 2018","Population in Households, 2018","Population in Group Quarters, 2018","Households, 2018","Persons per Household, 2018"
2704562104,Fillmore,Spring Valley,2505,2460,45,1093,2.25
2704569808,Fillmore,Whalan,65,65, -   ,33,1.97
2704571950,Fillmore,Wykoff,442,442, -   ,199,2.22
2704700694,Freeborn,Albert Lea,18165,17543,622,7998,2.19
2704700838,Freeborn,Alden,624,624, -   ,256,2.44
2704711674,Freeborn,Clarks Grove,679,679, -   ,289,2.35
2704712952,Freeborn,Conger,134,134, -   ,58,2.31
2704719340,Freeborn,Emmons,365,365, -   ,166,2.2
2704722526,Freeborn,Freeborn,277,277, -   ,113,2.45
2704723354,Freeborn,Geneva,530,530, -   ,213,2.49
2704724056,Freeborn,Glenville,595,595, -   ,262,2.27
2704727404,Freeborn,Hartland,308,308, -   ,139,2.22
2704727944,Freeborn,Hayward,251,251, -   ,116,2.16
2704729636,Freeborn,Hollandale,291,291, -   ,125,2.33
2704739716,Freeborn,Manchester,50,50, -   ,23,2.17
2704744890,Freeborn,Myrtle,39,39, -   ,22,1.77
2704765920,Freeborn,Twin Lakes,145,145, -   ,74,1.96
2704909730,Goodhue,Cannon Falls,4119,4023,96,1751,2.3
2704924398,Goodhue,Goodhue,1165,1165, -   ,417,2.79
2704932840,Goodhue,Kenyon,1836,1790,46,775,2.31
2704953620,Goodhue,Red Wing,16522,15980,542,7171,2.23
2704967972,Goodhue,Wanamingo,1097,1074,23,475,2.26
2704972328,Goodhue,Zumbrota,3463,3412,51,1465,2.33
2705102422,Grant,Ashby,448,448, -   ,200,2.24
2705103682,Grant,Barrett,414,372,42,163,2.28
2705118458,Grant,Elbow Lake,1172,1157,15,543,2.13
2705128646,Grant,Herman,433,433, -   ,219,1.98
2705129474,Grant,Hoffman,656,652,4,293,2.23
2705146492,Grant,Norcross,71,71, -   ,29,2.45
2705169142,Grant,Wendell,162,162, -   ,75,2.16
2705306616,Hennepin,Bloomington,89654,88190,1464,38246,2.31
2705307948,Hennepin,Brooklyn Center,32299,32053,246,11289,2.84
2705307966,Hennepin,Brooklyn Park,81679,81282,397,27957,2.91
2705310846,Hennepin,Champlin,23927,23883,44,8606,2.78
2705313168,Hennepin,Corcoran,5831,5831, -   ,2032,2.87
2705314158,Hennepin,Crystal,23287,23080,207,9544,2.42
2705315148,Hennepin,Deephaven,3878,3853,25,1416,2.72
2705318116,Hennepin,Eden Prairie,63456,63195,261,24920,2.54
2705318188,Hennepin,Edina,52535,52365,170,22619,2.32
2705320078,Hennepin,Excelsior,2321,2268,53,1175,1.93
2705324308,Hennepin,Golden Valley,21580,21213,367,9403,2.26
2705325622,Hennepin,Greenfield,2904,2904, -   ,983,2.95
2705325918,Hennepin,Greenwood,706,706, -   ,302,2.34
2705330140,Hennepin,Hopkins,19713,19485,228,9099,2.14
2705330842,Hennepin,Independence,3763,3710,53,1286,2.88
2705338006,Hennepin,Long Lake,1815,1774,41,746,2.38
2705338222,Hennepin,Loretto,661,661, -   ,268,2.47
2705340166,Hennepin,Maple Grove,66903,66819,84,25692,2.6
2705340256,Hennepin,Maple Plain,1864,1823,41,747,2.44
2705341462,Hennepin,Medicine Lake,388,388, -   ,168,2.31
2705341480,Hennepin,Medina,6646,6646, -   ,2324,2.86
2705343000,Hennepin,Minneapolis,428483,410488,17995,182719,2.25
2705343252,Hennepin,Minnetonka,53713,53420,293,23740,2.25
2705343270,Hennepin,Minnetonka Beach,561,561, -   ,201,2.79
2705343306,Hennepin,Minnetrista,7692,7692, -   ,2596,2.96
2705344476,Hennepin,Mound,9347,9342,5,4089,2.28
2705345628,Hennepin,New Hope,21790,21058,732,8899,2.37
2705348580,Hennepin,Orono,8102,8092,10,3107,2.6
2705349012,Hennepin,Osseo,2729,2637,92,1250,2.11
2705351730,Hennepin,Plymouth,78351,77184,1167,31749,2.43
2705354214,Hennepin,Richfield,36436,36053,383,15192,2.37
2705354808,Hennepin,Robbinsdale,14776,14522,254,6280,2.31
2705355186,Hennepin,Rogers,12991,12792,199,4241,3.02
2705356770,Hennepin,Saint Bonifacius,2328,2328, -   ,871,2.67
2705357220,Hennepin,Saint Louis Park,48910,48234,676,23414,2.06
2705360016,Hennepin,Shorewood,7693,7689,4,2845,2.7
2705362014,Hennepin,Spring Park,1694,1585,109,964,1.64
2705365164,Hennepin,Tonka Bay,1550,1550, -   ,614,2.52
2705368818,Hennepin,Wayzata,4719,4643,76,2328,1.99
2705371500,Hennepin,Woodland,467,467, -   ,176,2.65
2705508218,Houston,Brownsville,489,489, -   ,233,2.1
2705509226,Houston,Caledonia,2824,2748,76,1251,2.2
2705518368,Houston,Eitzen,242,242, -   ,115,2.1
2705529510,Houston,Hokah,544,544, -   ,269,2.02
2705530230,Houston,Houston,967,921,46,426,2.16
2705561852,Houston,Spring Grove,1291,1223,68,604,2.02
